X,Y,SPECIES NAME
4318500,2890500,Abies alba
4201500,2820500,Abies alba
4176500,2732500,Abies alba
4205500,2808500,Abies alba
4188500,2740500,Abies alba
4193500,2824500,Abies alba
4351500,2714500,Abies alba
4182500,2776500,Abies alba
4184500,2792500,Abies alba
4360500,2774500,Abies alba
4591500,2867500,Abies alba
4188500,2742500,Abies alba
4206500,2798500,Abies alba
4148500,2733500,Abies alba
4162500,2741500,Abies alba
4212500,2768500,Abies alba
4209500,2860500,Abies alba
4194500,2740500,Abies alba
4228500,2798500,Abies alba
4467500,2731500,Abies alba
4152500,2749500,Abies alba
4291500,2873500,Abies alba
4447500,2730500,Abies alba
4213500,2808500,Abies alba
4186500,2802500,Abies alba
4231500,2848500,Abies alba
4433500,2970500,Abies alba
4248500,2799500,Abies alba
4134500,3035500,Abies alba
4291500,2861500,Abies alba
4199500,2840500,Abies alba
4523500,2744500,Abies alba
4527500,2741500,Abies alba
4225500,2802500,Abies alba
4203500,2816500,Abies alba
4293500,2853500,Abies alba
4219500,2860000,Abies alba
4231500,2862500,Abies alba
4322500,2732500,Abies alba
4148500,2781500,Abies alba
4511500,2728500,Abies alba
4244500,2791500,Abies alba
4200500,2768500,Abies alba
4288500,2765500,Abies alba
4431500,3010500,Abies alba
4357500,2806500,Abies alba
4179500,2818500,Abies alba
4143500,2995500,Abies alba
4178500,2768500,Abies alba
4366500,2842500,Abies alba
4192500,2738500,Abies alba
4233500,2846500,Abies alba
4244500,2787500,Abies alba
4175500,2814500,Abies alba
4272500,2775500,Abies alba
4286500,2877500,Abies alba
4448500,2986500,Abies alba
4322500,2754500,Abies alba
4181500,2810500,Abies alba
4219500,2856500,Abies alba
4223500,2820500,Abies alba
4209500,2854500,Abies alba
4193500,2828500,Abies alba
4299500,2867500,Abies alba
4282500,2743500,Abies alba
4297500,2857500,Abies alba
4195500,2720500,Abies alba
4258500,2767500,Abies alba
4172500,2800500,Abies alba
4223500,2802500,Abies alba
4490500,2768500,Abies alba
4207500,2868500,Abies alba
4443500,2734500,Abies alba
4168500,2775500,Abies alba
4309500,2867500,Abies alba
4165500,2723500,Abies alba
4195500,2830500,Abies alba
